City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,vaini,-21.2,-175.2,75.2,94,75,5.82,TO,1594109659
1,kruisfontein,-34.0,24.73,57.69,61,99,25.61,ZA,1594109729
2,guerrero negro,27.98,-114.06,67.91,79,0,6.29,MX,1594109786
3,bom jesus,-9.07,-44.36,64.17,67,0,1.07,BR,1594110108
4,ponta do sol,32.67,-17.1,70.0,77,20,2.24,PT,1594109738
5,kodiak,57.79,-152.41,55.4,87,90,9.17,US,1594109635
6,kapaa,22.08,-159.32,78.8,78,75,16.11,US,1594109631
7,butaritari,3.07,172.79,83.32,76,0,11.77,KI,1594109654
8,jamestown,42.1,-79.24,66.2,93,1,4.7,US,1594109649
9,kerman,30.28,57.08,87.8,23,40,9.17,IR,1594110109
10,nikolskoye,59.7,30.79,64.99,68,20,4.47,RU,1594109665
11,saint george,37.1,-113.58,80.6,6,1,10.29,US,1594109605
12,rikitea,-23.12,-134.97,71.24,84,97,12.77,PF,1594109658
13,chokurdakh,70.63,147.92,44.58,84,100,12.12,RU,1594109697
14,tiksi,71.69,128.87,34.92,93,100,4.92,RU,1594109639
15,mataura,-46.19,168.86,39.0,83,100,3.0,NZ,1594109642
16,compiegne,49.42,2.83,63.0,67,20,2.24,FR,1594110110
17,grindavik,63.84,-22.43,51.8,76,40,5.82,IS,1594109746
18,rincon,32.3,-81.24,78.8,88,20,6.93,US,1594110111
19,kieta,-6.22,155.63,80.4,78,100,5.12,PG,1594109721
20,hambantota,6.12,81.12,95.0,56,20,13.87,LK,1594109765
21,chara,56.91,118.26,70.63,47,96,5.82,RU,1594110111
22,aasiaat,68.71,-52.87,40.19,87,100,6.02,GL,1594110111
23,college,64.86,-147.8,63.0,72,75,2.77,US,1594109687
24,beringovskiy,63.05,179.32,49.57,77,91,2.08,RU,1594109716
25,sangod,24.92,76.28,95.32,46,29,7.16,IN,1594110112
26,klaksvik,62.23,-6.59,46.4,75,100,14.99,FO,1594109704
27,gat,31.61,34.76,88.0,44,0,4.0,IL,1594110112
28,thompson,55.74,-97.86,55.4,82,40,8.05,CA,1594109631
29,imeni poliny osipenko,52.42,136.49,53.4,93,100,12.53,RU,1594110113
30,garowe,8.41,48.48,83.8,41,89,29.06,SO,1594110113
31,boa vista,2.82,-60.67,75.2,88,21,2.24,BR,1594109629
32,sinnamary,5.38,-52.95,77.23,85,4,7.11,GF,1594110113
33,katangli,51.71,143.23,56.59,86,100,8.25,RU,1594109811
34,qaanaaq,77.48,-69.36,42.84,64,0,1.63,GL,1594109614
35,hilo,19.73,-155.09,73.4,88,90,3.36,US,1594109631
36,bambous virieux,-20.34,57.76,78.8,78,75,12.75,MU,1594109665
37,severo-kurilsk,50.68,156.12,54.59,86,28,4.5,RU,1594109754
38,mingshui,36.72,117.5,100.0,36,0,1.99,CN,1594110115
39,sioux lookout,50.1,-91.92,66.2,77,5,5.82,CA,1594110115
40,yellowknife,62.46,-114.35,51.8,71,20,6.93,CA,1594109657
41,hithadhoo,-0.6,73.08,84.13,77,100,13.02,MV,1594109636
42,vardo,70.37,31.11,53.6,71,75,14.99,NO,1594109763
43,kurchatov,51.66,35.65,89.6,35,33,11.18,RU,1594110116
44,hermanus,-34.42,19.23,55.99,77,73,5.97,ZA,1594109630
45,atuona,-9.8,-139.03,79.79,71,2,9.08,PF,1594109650
46,ushuaia,-54.8,-68.3,37.4,55,20,16.11,AR,1594109667
47,inhambane,-23.86,35.38,64.4,88,20,5.99,MZ,1594109787
48,stornoway,58.21,-6.39,52.0,81,75,5.82,GB,1594110116
49,conceicao do araguaia,-8.26,-49.26,69.8,83,1,3.36,BR,1594110117
50,mutis,6.23,-77.4,77.76,82,40,0.94,CO,1594110117
51,manyana,-23.4,21.72,66.94,23,0,7.4,BW,1594110117
